time,noaa,sg
2024-04-04T00:00:00+00:00,3.35,3.35
2024-04-04T01:00:00+00:00,3.75,3.75
2024-04-04T02:00:00+00:00,4.16,4.16
2024-04-04T03:00:00+00:00,4.56,4.56
2024-04-04T04:00:00+00:00,5.05,5.05
2024-04-04T05:00:00+00:00,5.53,5.53
2024-04-04T06:00:00+00:00,6.02,6.02
2024-04-04T07:00:00+00:00,6.33,6.33
2024-04-04T08:00:00+00:00,6.65,6.65
2024-04-04T09:00:00+00:00,6.96,6.96
2024-04-04T10:00:00+00:00,6.34,6.34
2024-04-04T11:00:00+00:00,5.71,5.71
2024-04-04T12:00:00+00:00,5.09,5.09
2024-04-04T13:00:00+00:00,4.74,4.74
2024-04-04T14:00:00+00:00,4.38,4.38
2024-04-04T15:00:00+00:00,4.03,4.03
2024-04-04T16:00:00+00:00,4.3,4.3
2024-04-04T17:00:00+00:00,4.57,4.57
2024-04-04T18:00:00+00:00,4.84,4.84
2024-04-04T19:00:00+00:00,4.82,4.82
2024-04-04T20:00:00+00:00,4.8,4.8
2024-04-04T21:00:00+00:00,4.78,4.78
2024-04-04T22:00:00+00:00,4.76,4.76
2024-04-04T23:00:00+00:00,4.74,4.74
2024-04-05T00:00:00+00:00,4.47,4.47
2024-04-05T01:00:00+00:00,4.88,4.88
2024-04-05T02:00:00+00:00,5.3,5.3
2024-04-05T03:00:00+00:00,5.71,5.71
2024-04-05T04:00:00+00:00,6.13,6.13
2024-04-05T05:00:00+00:00,6.56,6.56
2024-04-05T06:00:00+00:00,6.98,6.98
2024-04-05T07:00:00+00:00,7.08,7.08
2024-04-05T08:00:00+00:00,7.17,7.17
2024-04-05T09:00:00+00:00,7.27,7.27
2024-04-05T10:00:00+00:00,7.66,7.66
2024-04-05T11:00:00+00:00,8.04,8.04
2024-04-05T12:00:00+00:00,8.43,8.43
2024-04-05T13:00:00+00:00,7.09,7.09
2024-04-05T14:00:00+00:00,5.76,5.76
2024-04-05T15:00:00+00:00,4.42,4.42
2024-04-05T16:00:00+00:00,4.69,4.69
2024-04-05T17:00:00+00:00,4.97,4.97
2024-04-05T18:00:00+00:00,5.24,5.24
2024-04-05T19:00:00+00:00,5.25,5.25
2024-04-05T20:00:00+00:00,5.26,5.26
2024-04-05T21:00:00+00:00,5.27,5.27
2024-04-05T22:00:00+00:00,5.26,5.26
2024-04-05T23:00:00+00:00,5.24,5.24
2024-04-06T00:00:00+00:00,7.02,7.02
2024-04-06T01:00:00+00:00,7.05,7.05
2024-04-06T02:00:00+00:00,7.07,7.07
2024-04-06T03:00:00+00:00,7.1,7.1
2024-04-06T04:00:00+00:00,7.15,7.15
2024-04-06T05:00:00+00:00,7.21,7.21
2024-04-06T06:00:00+00:00,7.26,7.26
2024-04-06T07:00:00+00:00,7.02,7.02
2024-04-06T08:00:00+00:00,6.78,6.78
