time,noaa,sg
2024-04-10T07:00:00+00:00,9.47,6.22
2024-04-10T08:00:00+00:00,9.0,6.01
2024-04-10T09:00:00+00:00,8.54,5.8
2024-04-10T10:00:00+00:00,7.95,5.6
2024-04-10T11:00:00+00:00,7.35,5.4
2024-04-10T12:00:00+00:00,6.76,5.2
2024-04-10T13:00:00+00:00,6.94,5.37
2024-04-10T14:00:00+00:00,7.12,5.55
2024-04-10T15:00:00+00:00,7.3,5.72
2024-04-10T16:00:00+00:00,7.26,5.62
2024-04-10T17:00:00+00:00,7.22,5.53
2024-04-10T18:00:00+00:00,7.18,5.43
2024-04-10T19:00:00+00:00,7.14,5.26
2024-04-10T20:00:00+00:00,7.09,5.1
2024-04-10T21:00:00+00:00,7.05,4.93
2024-04-10T22:00:00+00:00,7.19,5.06
2024-04-10T23:00:00+00:00,7.34,5.19
2024-04-11T00:00:00+00:00,8.56,5.06
2024-04-11T01:00:00+00:00,8.45,5.38
2024-04-11T02:00:00+00:00,8.33,5.7
2024-04-11T03:00:00+00:00,8.22,6.02
2024-04-11T04:00:00+00:00,8.34,6.09
2024-04-11T05:00:00+00:00,8.46,6.17
2024-04-11T06:00:00+00:00,8.58,6.24
2024-04-11T07:00:00+00:00,8.16,5.99
2024-04-11T08:00:00+00:00,7.74,5.74
2024-04-11T09:00:00+00:00,7.32,5.49
2024-04-11T10:00:00+00:00,6.79,5.25
2024-04-11T11:00:00+00:00,6.26,5.0
2024-04-11T12:00:00+00:00,5.73,4.76
2024-04-11T13:00:00+00:00,6.38,4.88
2024-04-11T14:00:00+00:00,7.02,4.99
2024-04-11T15:00:00+00:00,7.67,5.11
2024-04-11T16:00:00+00:00,7.32,5.03
2024-04-11T17:00:00+00:00,6.96,4.95
2024-04-11T18:00:00+00:00,6.61,4.87
2024-04-11T19:00:00+00:00,6.14,5.01
2024-04-11T20:00:00+00:00,5.67,5.16
2024-04-11T21:00:00+00:00,5.2,5.3
2024-04-11T22:00:00+00:00,5.44,5.24
2024-04-11T23:00:00+00:00,5.67,5.17
2024-04-12T00:00:00+00:00,6.78,5.27
2024-04-12T01:00:00+00:00,7.23,5.46
2024-04-12T02:00:00+00:00,7.67,5.65
2024-04-12T03:00:00+00:00,8.12,5.84
2024-04-12T04:00:00+00:00,8.11,5.88
2024-04-12T05:00:00+00:00,8.09,5.93
2024-04-12T06:00:00+00:00,8.08,5.97
