time,meteo
2024-04-10T13:00:00+00:00,4.7
2024-04-10T14:00:00+00:00,5.2
2024-04-10T15:00:00+00:00,5.2
2024-04-10T16:00:00+00:00,5.1
2024-04-10T17:00:00+00:00,4.8
2024-04-10T18:00:00+00:00,4.7
2024-04-10T19:00:00+00:00,4.9
2024-04-10T20:00:00+00:00,5.0
2024-04-10T21:00:00+00:00,5.1
2024-04-10T22:00:00+00:00,5.0
2024-04-10T23:00:00+00:00,4.61
2024-04-11T00:00:00+00:00,5.02
2024-04-11T01:00:00+00:00,5.84
2024-04-11T02:00:00+00:00,6.26
2024-04-11T03:00:00+00:00,6.45
2024-04-11T04:00:00+00:00,6.44
2024-04-11T05:00:00+00:00,6.42
2024-04-11T06:00:00+00:00,6.43
2024-04-11T07:00:00+00:00,6.32
2024-04-11T08:00:00+00:00,6.11
2024-04-11T09:00:00+00:00,5.71
2024-04-11T10:00:00+00:00,5.21
2024-04-11T11:00:00+00:00,4.6
2024-04-11T12:00:00+00:00,4.41
2024-04-11T13:00:00+00:00,4.3
2024-04-11T14:00:00+00:00,4.3
2024-04-11T15:00:00+00:00,4.4
2024-04-11T16:00:00+00:00,4.8
2024-04-11T17:00:00+00:00,5.01
2024-04-11T18:00:00+00:00,5.32
2024-04-11T19:00:00+00:00,4.92
2024-04-11T20:00:00+00:00,4.82
2024-04-11T21:00:00+00:00,4.62
2024-04-11T22:00:00+00:00,4.41
2024-04-11T23:00:00+00:00,4.4
2024-04-12T00:00:00+00:00,4.61
2024-04-12T01:00:00+00:00,5.5
2024-04-12T02:00:00+00:00,5.81
2024-04-12T03:00:00+00:00,5.92
2024-04-12T04:00:00+00:00,6.02
2024-04-12T05:00:00+00:00,5.91
2024-04-12T06:00:00+00:00,6.0
2024-04-12T07:00:00+00:00,6.0
2024-04-12T08:00:00+00:00,5.9
2024-04-12T09:00:00+00:00,5.51
2024-04-12T10:00:00+00:00,5.04
2024-04-12T11:00:00+00:00,4.55
2024-04-12T12:00:00+00:00,4.08
2024-04-12T13:00:00+00:00,3.93
2024-04-12T14:00:00+00:00,3.83
2024-04-12T15:00:00+00:00,4.0
2024-04-12T16:00:00+00:00,4.24
2024-04-12T17:00:00+00:00,4.14
2024-04-12T18:00:00+00:00,3.9
2024-04-12T19:00:00+00:00,3.77
2024-04-12T20:00:00+00:00,3.67
2024-04-12T21:00:00+00:00,3.79
2024-04-12T22:00:00+00:00,3.79
2024-04-12T23:00:00+00:00,3.73
2024-04-13T00:00:00+00:00,4.22
2024-04-13T01:00:00+00:00,4.52
2024-04-13T02:00:00+00:00,4.43
2024-04-13T03:00:00+00:00,4.21
2024-04-13T04:00:00+00:00,4.19
2024-04-13T05:00:00+00:00,4.44
2024-04-13T06:00:00+00:00,4.08
2024-04-13T07:00:00+00:00,4.16
2024-04-13T08:00:00+00:00,4.03
2024-04-13T09:00:00+00:00,3.96
2024-04-13T10:00:00+00:00,3.7
2024-04-13T11:00:00+00:00,3.38
2024-04-13T12:00:00+00:00,3.07
2024-04-13T13:00:00+00:00,2.79
2024-04-13T14:00:00+00:00,2.56
2024-04-13T15:00:00+00:00,2.38
2024-04-13T16:00:00+00:00,2.47
2024-04-13T17:00:00+00:00,2.53
2024-04-13T18:00:00+00:00,2.75
2024-04-13T19:00:00+00:00,2.69
2024-04-13T20:00:00+00:00,2.77
2024-04-13T21:00:00+00:00,2.86
2024-04-13T22:00:00+00:00,2.77
2024-04-13T23:00:00+00:00,2.39
2024-04-14T00:00:00+00:00,3.41
2024-04-14T01:00:00+00:00,3.94
2024-04-14T02:00:00+00:00,4.07
2024-04-14T03:00:00+00:00,3.94
2024-04-14T04:00:00+00:00,3.99
2024-04-14T05:00:00+00:00,3.99
2024-04-14T06:00:00+00:00,3.74
2024-04-14T07:00:00+00:00,3.8
2024-04-14T08:00:00+00:00,3.78
2024-04-14T09:00:00+00:00,3.78
2024-04-14T10:00:00+00:00,3.7
2024-04-14T11:00:00+00:00,3.5
2024-04-14T12:00:00+00:00,3.36
2024-04-14T13:00:00+00:00,3.28
2024-04-14T14:00:00+00:00,3.05
2024-04-14T15:00:00+00:00,2.8
2024-04-14T16:00:00+00:00,2.52
2024-04-14T17:00:00+00:00,2.28
2024-04-14T18:00:00+00:00,2.25
2024-04-14T19:00:00+00:00,2.4
2024-04-14T20:00:00+00:00,2.4
2024-04-14T21:00:00+00:00,2.38
2024-04-14T22:00:00+00:00,2.28
2024-04-14T23:00:00+00:00,2.04
2024-04-15T00:00:00+00:00,2.28
2024-04-15T01:00:00+00:00,3.1
2024-04-15T02:00:00+00:00,3.55
2024-04-15T03:00:00+00:00,3.96
2024-04-15T04:00:00+00:00,4.16
2024-04-15T05:00:00+00:00,4.25
2024-04-15T06:00:00+00:00,4.21
2024-04-15T07:00:00+00:00,4.3
2024-04-15T08:00:00+00:00,4.41
2024-04-15T09:00:00+00:00,4.38
2024-04-15T10:00:00+00:00,4.33
2024-04-15T11:00:00+00:00,4.08
2024-04-15T12:00:00+00:00,3.85
2024-04-15T13:00:00+00:00,3.54
2024-04-15T14:00:00+00:00,3.19
2024-04-15T15:00:00+00:00,2.92
2024-04-15T16:00:00+00:00,2.68
2024-04-15T17:00:00+00:00,2.66
2024-04-15T18:00:00+00:00,2.6
2024-04-15T19:00:00+00:00,2.53
2024-04-15T20:00:00+00:00,2.51
2024-04-15T21:00:00+00:00,2.41
2024-04-15T22:00:00+00:00,2.53
2024-04-15T23:00:00+00:00,2.72
2024-04-16T00:00:00+00:00,3.47
2024-04-16T01:00:00+00:00,4.67
2024-04-16T02:00:00+00:00,4.79
2024-04-16T03:00:00+00:00,4.81
2024-04-16T04:00:00+00:00,4.78
2024-04-16T05:00:00+00:00,4.72
2024-04-16T06:00:00+00:00,4.75
2024-04-16T07:00:00+00:00,4.87
2024-04-16T08:00:00+00:00,4.87
2024-04-16T09:00:00+00:00,4.75
2024-04-16T10:00:00+00:00,4.39
2024-04-16T11:00:00+00:00,3.98
2024-04-16T12:00:00+00:00,3.58
2024-04-16T13:00:00+00:00,3.28
2024-04-16T14:00:00+00:00,3.16
2024-04-16T15:00:00+00:00,2.92
2024-04-16T16:00:00+00:00,2.8
2024-04-16T17:00:00+00:00,2.8
2024-04-16T18:00:00+00:00,2.62
2024-04-16T19:00:00+00:00,2.27
2024-04-16T20:00:00+00:00,1.86
2024-04-16T21:00:00+00:00,1.58
2024-04-16T22:00:00+00:00,1.64
2024-04-16T23:00:00+00:00,1.44
2024-04-17T00:00:00+00:00,2.24
2024-04-17T01:00:00+00:00,3.22
2024-04-17T02:00:00+00:00,3.44
2024-04-17T03:00:00+00:00,3.77
2024-04-17T04:00:00+00:00,3.86
2024-04-17T05:00:00+00:00,3.94
2024-04-17T06:00:00+00:00,4.03
2024-04-17T07:00:00+00:00,4.12
2024-04-17T08:00:00+00:00,3.98
2024-04-17T09:00:00+00:00,3.8
2024-04-17T10:00:00+00:00,3.53
2024-04-17T11:00:00+00:00,3.05
2024-04-17T12:00:00+00:00,2.53
2024-04-17T13:00:00+00:00,2.16
2024-04-17T14:00:00+00:00,1.99
2024-04-17T15:00:00+00:00,1.93
2024-04-17T16:00:00+00:00,2.19
2024-04-17T17:00:00+00:00,2.31
2024-04-17T18:00:00+00:00,2.18
2024-04-17T19:00:00+00:00,2.06
2024-04-17T20:00:00+00:00,1.77
2024-04-17T21:00:00+00:00,1.58
2024-04-17T22:00:00+00:00,1.49
2024-04-17T23:00:00+00:00,0.95
2024-04-18T00:00:00+00:00,0.72
2024-04-18T01:00:00+00:00,0.99
2024-04-18T02:00:00+00:00,1.22
2024-04-18T03:00:00+00:00,1.77
2024-04-18T04:00:00+00:00,2.61
2024-04-18T05:00:00+00:00,3.31
2024-04-18T06:00:00+00:00,4.02
2024-04-18T07:00:00+00:00,4.46
2024-04-18T08:00:00+00:00,4.83
2024-04-18T09:00:00+00:00,5.17
2024-04-18T10:00:00+00:00,4.84
2024-04-18T11:00:00+00:00,4.62
2024-04-18T12:00:00+00:00,4.11
2024-04-18T13:00:00+00:00,3.62
2024-04-18T14:00:00+00:00,3.31
2024-04-18T15:00:00+00:00,2.8
2024-04-18T16:00:00+00:00,2.6
2024-04-18T17:00:00+00:00,2.62
2024-04-18T18:00:00+00:00,2.67
2024-04-18T19:00:00+00:00,2.5
2024-04-18T20:00:00+00:00,2.06
2024-04-18T21:00:00+00:00,1.53
2024-04-18T22:00:00+00:00,0.86
2024-04-18T23:00:00+00:00,0.57
2024-04-19T00:00:00+00:00,2.2
2024-04-19T01:00:00+00:00,2.4
2024-04-19T02:00:00+00:00,2.72
2024-04-19T03:00:00+00:00,3.21
2024-04-19T04:00:00+00:00,3.72
2024-04-19T05:00:00+00:00,3.91
2024-04-19T06:00:00+00:00,4.23
2024-04-19T07:00:00+00:00,4.55
2024-04-19T08:00:00+00:00,4.69
2024-04-19T09:00:00+00:00,4.68
2024-04-19T10:00:00+00:00,4.81
2024-04-19T11:00:00+00:00,4.56
2024-04-19T12:00:00+00:00,4.12
2024-04-19T13:00:00+00:00,3.79
2024-04-19T14:00:00+00:00,3.73
2024-04-19T15:00:00+00:00,3.62
2024-04-19T16:00:00+00:00,3.31
2024-04-19T17:00:00+00:00,3.2
2024-04-19T18:00:00+00:00,3.0
2024-04-19T19:00:00+00:00,2.51
2024-04-19T20:00:00+00:00,2.24
2024-04-19T21:00:00+00:00,2.34
2024-04-19T22:00:00+00:00,2.33
2024-04-19T23:00:00+00:00,2.11
2024-04-22T00:00:00+00:00,2.38
2024-04-22T01:00:00+00:00,2.97
2024-04-22T02:00:00+00:00,3.16
2024-04-22T03:00:00+00:00,3.45
2024-04-22T04:00:00+00:00,3.74
2024-04-22T05:00:00+00:00,3.83
2024-04-22T06:00:00+00:00,3.86
2024-04-22T07:00:00+00:00,3.71
2024-04-22T08:00:00+00:00,3.52
2024-04-22T09:00:00+00:00,3.61
2024-04-22T10:00:00+00:00,3.68
2024-04-22T11:00:00+00:00,3.54
2024-04-22T12:00:00+00:00,3.11
2024-04-22T13:00:00+00:00,2.97
2024-04-22T14:00:00+00:00,2.97
2024-04-22T15:00:00+00:00,2.75
2024-04-22T16:00:00+00:00,2.82
2024-04-22T17:00:00+00:00,3.09
2024-04-22T18:00:00+00:00,3.27
2024-04-22T19:00:00+00:00,3.26
2024-04-22T20:00:00+00:00,3.19
2024-04-22T21:00:00+00:00,2.88
2024-04-22T22:00:00+00:00,2.44
2024-04-22T23:00:00+00:00,2.06
2024-04-23T00:00:00+00:00,2.25
2024-04-23T01:00:00+00:00,2.64
2024-04-23T02:00:00+00:00,2.66
2024-04-23T03:00:00+00:00,2.89
2024-04-23T04:00:00+00:00,3.03
2024-04-23T05:00:00+00:00,3.31
2024-04-23T06:00:00+00:00,3.51
2024-04-23T07:00:00+00:00,3.92
2024-04-23T08:00:00+00:00,4.14
2024-04-23T09:00:00+00:00,4.28
2024-04-23T10:00:00+00:00,4.32
2024-04-23T11:00:00+00:00,4.15
2024-04-23T12:00:00+00:00,3.67
2024-04-23T13:00:00+00:00,3.31
2024-04-23T14:00:00+00:00,3.18
2024-04-23T15:00:00+00:00,3.04
2024-04-23T16:00:00+00:00,2.86
2024-04-23T17:00:00+00:00,2.79
