PCTimeStamp       ,P_HD1,P_HD2,P_HD3,P_HD4,P_HD5,P_HD6,P_HD7,P_HD8
2024-04-30 9:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30 9:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30 9:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30 9:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30 10:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30 10:20,0.0,0.0,0.0,0.05496392884558207,0.0,0.0,0.0,0.0
2024-04-30 10:30,0.06889978237373556,0.0,0.0,0.0,0.043718432953800054,0.05752539485478751,0.051768222336798043,0.07405736526755552
2024-04-30 10:40,0.19007215017271792,0.04320928064587198,0.04474044263968798,0.05442822353575804,0.06190242906083546,0.09444436937533948,0.100554049934718,0.10245757146675
2024-04-30 10:50,0.19007215017271792,0.11263341842555552,0.059157520006975516,0.1405597200773355,0.15093303756978751,0.13165290140758204,0.13165290140758204,0.156583879088142
2024-04-30 11:00,0.210574510521072,0.16679211754099954,0.15238421786771558,0.20425845455405553,0.17877210203851202,0.17493574110439206,0.15805420224790198,0.17188888277728803
